entry_date,n_long,gross_fwd5d_ret,net_fwd5d_ret
2025-05-19,20,-0.014728042973373873,-0.015728042973373872
2025-05-20,20,-0.027225074403932938,-0.02822507440393294
2025-05-21,20,0.02065295188326156,0.01965295188326156
2025-05-22,20,-0.008723757361860702,-0.0097237573618607
2025-05-23,20,0.008146827921096245,0.007146827921096245
2025-05-27,20,0.004671434472114333,0.003671434472114333
2025-05-28,20,0.02483674743850205,0.02383674743850205
2025-05-29,20,0.01614054726410464,0.015140547264104638
2025-05-30,20,0.038026760369769014,0.03702676036976901
2025-06-02,20,0.030364114862368858,0.029364114862368857
2025-06-03,20,0.01900098986458635,0.01800098986458635
2025-06-04,20,0.01791776769498808,0.016917767694988078
2025-06-05,20,0.021796003148014116,0.020796003148014115
2025-06-06,20,-0.0004372107474392817,-0.0014372107474392817
2025-06-09,20,0.0055330851214773265,0.0045330851214773265
2025-06-10,20,0.0011973701883427502,0.00019737018834275013
2025-06-11,20,-0.009077806669424454,-0.010077806669424455
2025-06-12,20,-0.024015244163764864,-0.025015244163764865
2025-06-13,20,0.0133760763880235,0.012376076388023498
2025-06-16,20,0.004108077112161429,0.0031080771121614293
2025-06-17,20,0.025416097957815614,0.024416097957815613
2025-06-18,20,0.028815883070958465,0.027815883070958464
2025-06-20,20,0.03905834537008469,0.03805834537008469
2025-06-23,20,0.03157152592678414,0.030571525926784138
2025-06-24,20,0.021122315724072926,0.020122315724072925
2025-06-25,20,0.028551452327801624,0.027551452327801623
2025-06-26,20,0.02010517511048555,0.01910517511048555
2025-06-27,20,0.016532067570256177,0.015532067570256176
2025-06-30,20,0.014163143193809425,0.013163143193809426
2025-07-01,20,-0.006797406020409935,-0.007797406020409935
2025-07-02,20,-0.002484840460520271,-0.003484840460520271
2025-07-03,20,-0.0006893498360322104,-0.0016893498360322104
2025-07-07,20,0.01643887066744984,0.015438870667449839
2025-07-08,20,0.006526060052640714,0.005526060052640714
2025-07-09,20,-0.0002687103295460236,-0.0012687103295460236
2025-07-10,20,0.012033592770924122,0.011033592770924121
2025-07-11,20,0.00866418719295028,0.007664187192950279
2025-07-14,20,-0.00022910027183724037,-0.0012291002718372403
2025-07-15,20,0.030792255317029327,0.029792255317029327
2025-07-16,20,0.034917000673908405,0.033917000673908404
2025-07-17,20,0.025622677589729047,0.024622677589729046
2025-07-18,20,0.004843256582790478,0.003843256582790478
2025-07-21,20,0.01875720126716799,0.01775720126716799
2025-07-22,20,0.028933746738685186,0.027933746738685185
2025-07-23,20,-0.021109457434842466,-0.022109457434842467
2025-07-24,20,-0.041569328904142215,-0.042569328904142216
2025-07-25,20,-0.04570872957741847,-0.04670872957741847
2025-07-28,20,-0.033456524304363085,-0.034456524304363086
2025-07-29,20,-0.03695174578568326,-0.037951745785683264
2025-07-30,20,-0.012239222315976423,-0.013239222315976424
2025-07-31,20,-7.348745836110448e-05,-0.0010734874583611044
2025-08-01,20,0.012694125327796717,0.011694125327796717
2025-08-04,20,0.007197133762405767,0.006197133762405767
2025-08-05,20,-0.01585627352666173,-0.01685627352666173
2025-08-06,20,0.02123463541876946,0.020234635418769457
2025-08-07,20,0.028860243401071174,0.027860243401071173
2025-08-08,20,0.041357650528999715,0.040357650528999714
2025-08-11,20,0.06680593183823821,0.06580593183823821
2025-08-12,20,0.03206278307817402,0.03106278307817402
2025-08-13,20,0.012809587154437146,0.011809587154437147
2025-08-14,20,0.015571643804380763,0.014571643804380762
2025-08-15,20,0.009498057659866933,0.008498057659866932
2025-08-18,20,0.004968449632361311,0.003968449632361311
2025-08-19,20,0.008961787231126717,0.007961787231126716
2025-08-20,20,0.019056573331015198,0.018056573331015197
2025-08-21,20,0.027200510763741758,0.026200510763741757
2025-08-22,20,-0.01097153876031493,-0.01197153876031493
2025-08-25,20,-0.021386052774926907,-0.022386052774926907
2025-08-26,20,0.0059897506688423915,0.0049897506688423915
2025-08-27,20,0.0014643445937358001,0.0004643445937358001
2025-08-28,20,0.011774346927510055,0.010774346927510055
2025-08-29,20,0.02891382195317873,0.02791382195317873
2025-09-02,20,0.01595891526765657,0.01495891526765657
2025-09-03,20,0.0163672952979118,0.015367295297911799
2025-09-04,20,0.014440486330826858,0.013440486330826857
2025-09-05,20,0.006531165135789369,0.005531165135789369
2025-09-08,20,0.0031933088824838253,0.0021933088824838253
2025-09-09,20,0.008138830641750461,0.0071388306417504615
2025-09-10,20,0.04354042786637752,0.04254042786637752
2025-09-11,20,0.00950224193425384,0.008502241934253842
2025-09-12,20,0.008957858128702773,0.007957858128702772
2025-09-15,20,0.0023527421698973927,0.0013527421698973927
2025-09-16,20,0.0016087348897796505,0.0006087348897796504
2025-09-17,20,-0.005398845353545884,-0.006398845353545884
2025-09-18,20,-0.01816781607496244,-0.01916781607496244
2025-09-19,20,0.0048438991215962015,0.0038438991215962014
2025-09-22,20,0.009725491406325216,0.008725491406325215
2025-09-23,20,0.005159812626952187,0.004159812626952187
2025-09-24,20,0.01419563362460185,0.013195633624601851
2025-09-25,20,0.02197282975351326,0.02097282975351326
2025-09-26,20,0.04873633192141768,0.04773633192141768
2025-09-29,20,0.009959300452634573,0.008959300452634572
2025-09-30,20,0.02001826743549176,0.01901826743549176
2025-10-01,20,0.0044878992393367345,0.0034878992393367345
2025-10-02,20,-0.019755306248660082,-0.020755306248660083
2025-10-03,20,-0.03365994317413457,-0.03465994317413457
2025-10-06,20,-0.01628349580166062,-0.01728349580166062
2025-10-07,20,-0.010617674667084381,-0.011617674667084382
2025-10-08,20,-0.02052632186799929,-0.02152632186799929
2025-10-09,20,-0.004171203839317817,-0.005171203839317817
2025-10-10,20,0.04626330811431816,0.04526330811431816
2025-10-13,20,0.017303470287529127,0.016303470287529126
2025-10-14,20,0.02313526154865959,0.02213526154865959
2025-10-15,20,0.02222585764860178,0.02122585764860178
2025-10-16,20,0.020854263694084486,0.019854263694084485
2025-10-17,20,0.008419755011890467,0.007419755011890467
2025-10-20,20,0.020334911040878745,0.019334911040878745
2025-10-21,20,0.03164285296876186,0.03064285296876186
2025-10-22,20,0.011969896844122451,0.010969896844122452
2025-10-23,20,-0.018812674163809568,-0.01981267416380957
2025-10-24,20,-0.00552051010187547,-0.00652051010187547
2025-10-27,20,-0.046688188761227586,-0.04768818876122759
2025-10-28,20,-0.02979224570901439,-0.03079224570901439
2025-10-29,20,0.004091492796095564,0.003091492796095564
2025-10-30,20,-0.010572023852463674,-0.011572023852463673
2025-10-31,20,0.01117420731290672,0.010174207312906719
2025-11-03,20,-0.007987174092656013,-0.008987174092656012
2025-11-04,20,0.017575900938043853,0.016575900938043852
2025-11-05,20,0.02355101338384929,0.022551013383849287
2025-11-06,20,-0.00637096274958493,-0.00737096274958493
2025-11-07,20,-0.005149248698665537,-0.006149248698665537
